[2024-08-21 20:57:37,140: INFO: common: created directory at: artifacts]
[2024-08-21 20:57:37,141: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 20:57:37,144: INFO: 1182142144: Kaggle API Authenticated]
[2024-08-21 20:57:37,145: INFO: 1182142144: Downloading data from kaggle into file artifacts/data_ingestion/]
[2024-08-21 21:02:38,660: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 21:02:38,662: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 21:02:38,662: INFO: common: created directory at: artifacts]
[2024-08-21 21:02:38,663: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 21:02:38,667: INFO: 202220388: Kaggle API Authenticated]
[2024-08-21 21:06:03,545: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 21:06:03,546: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 21:06:03,547: INFO: common: created directory at: artifacts]
[2024-08-21 21:06:03,548: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 21:06:03,553: INFO: 924857465: Kaggle API Authenticated]
[2024-08-21 23:26:09,929: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:26:09,931: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:26:09,931: INFO: common: created directory at: artifacts]
[2024-08-21 23:26:09,932: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:26:09,936: INFO: 1589711347: Kaggle API Authenticated]
[2024-08-21 23:26:09,937: INFO: 1589711347: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/]
[2024-08-21 23:26:14,811: INFO: 1589711347: Downloaded dataset from kaggle to artifacts/data_ingestion/]
[2024-08-21 23:29:52,884: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:29:52,886: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:29:52,886: INFO: common: created directory at: artifacts]
[2024-08-21 23:29:52,887: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:29:52,891: INFO: 488464919: Kaggle API Authenticated]
[2024-08-21 23:29:52,892: INFO: 488464919: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/]
[2024-08-21 23:29:53,358: INFO: 488464919: Downloaded dataset from kaggle to artifacts/data_ingestion/]
[2024-08-21 23:32:25,181: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:32:25,182: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:32:25,183: INFO: common: created directory at: artifacts]
[2024-08-21 23:32:25,183: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:32:25,187: INFO: 1408971601: Kaggle API Authenticated]
[2024-08-21 23:32:25,187: INFO: 1408971601: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/]
[2024-08-21 23:32:26,053: INFO: 1408971601: Downloaded dataset from kaggle to artifacts/data_ingestion/]
[2024-08-21 23:33:00,380: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:33:00,382: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:33:00,382: INFO: common: created directory at: artifacts]
[2024-08-21 23:33:00,383: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:33:00,387: INFO: 1408971601: Kaggle API Authenticated]
[2024-08-21 23:33:00,388: INFO: 1408971601: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/]
[2024-08-21 23:33:04,990: INFO: 1408971601: Downloaded dataset from kaggle to artifacts/data_ingestion/]
[2024-08-21 23:35:48,931: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:35:48,933: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:35:48,933: INFO: common: created directory at: artifacts]
[2024-08-21 23:35:48,934: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:35:48,938: INFO: 1408971601: Kaggle API Authenticated]
[2024-08-21 23:35:48,939: INFO: 1408971601: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:35:53,334: INFO: 1408971601: Downloaded dataset from kaggle to artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:37:17,107: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:37:17,108: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:37:17,109: INFO: common: created directory at: artifacts]
[2024-08-21 23:37:17,110: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:37:17,113: INFO: 983981775: Kaggle API Authenticated]
[2024-08-21 23:37:17,114: INFO: 983981775: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:37:22,041: INFO: 983981775: Downloaded dataset from kaggle to artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:37:58,869: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:37:58,870: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:37:58,871: INFO: common: created directory at: artifacts]
[2024-08-21 23:37:58,872: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:37:58,875: INFO: 314244688: Kaggle API Authenticated]
[2024-08-21 23:37:58,876: INFO: 314244688: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:38:03,848: INFO: 314244688: Downloaded dataset from kaggle to artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:38:27,482: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:38:27,483: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-21 23:38:27,484: INFO: common: created directory at: artifacts]
[2024-08-21 23:38:27,485: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-21 23:38:27,488: INFO: 1258372039: Kaggle API Authenticated]
[2024-08-21 23:38:27,489: INFO: 1258372039: Downloading data from mohamedhanyyy/chest-ctscan-images into file artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:38:27,905: INFO: 1258372039: Downloaded dataset from kaggle to artifacts/data_ingestion/chest-ctscan-images.zip]
[2024-08-21 23:40:19,991: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-08-21 23:40:19,993: INFO: common: yaml file: params.yaml loaded successfully]
